Id,SalePrice
1461,132173.38317842415
1462,157658.12749616132
1463,189422.867856506
1464,191307.49019406622
1465,189399.97823125313
1466,181856.31639718547
1467,173544.6916699221
1468,171611.91356780092
1469,183636.1401015119
1470,132019.75593970917
1471,206588.37240567495
1472,100200.55500423249
1473,108625.93964683099
1474,163486.7372380297
1475,140600.39782954636
1476,278368.29728312953
1477,235388.84705836774
1478,264799.82544027374
1479,262731.3079678095
1480,352322.6226172012
1481,303443.39278211806
1482,207313.48950498534
1483,176939.7720359711
1484,167116.43601317963
1485,168609.35237924018
1486,199363.10865872618
1487,300227.86786641093
1488,247857.43762048116
1489,197605.08757254196
1490,204999.4111989768
1491,189178.02022456971
1492,110259.61246325426
1493,173175.04623965817
1494,293117.1850935776
1495,304334.78109685204
1496,218971.24673662244
1497,197444.21087864152
1498,171942.00311593793
1499,172917.61684613122
1500,171338.46093731245
1501,186484.38428455876
1502,152471.5208324857
1503,277741.2473108453
1504,229307.48833477838
1505,220481.5560683337
1506,200258.19688062224
1507,263821.0192957368
1508,208008.41737961094
1509,159012.8436096656
1510,157407.74299168168
1511,157398.3133942133
1512,182365.57846623388
1513,172849.60153780918
1514,154217.48042594377
1515,210348.89268687103
1516,160360.9439543589
1517,147040.03549955518
1518,160016.5425126876
1519,228008.82211735583
1520,133033.4962702424
1521,133093.39630543988
1522,167443.14249953537
1523,125224.14719782653
1524,126421.01617944388
1525,127167.7740022722
1526,127990.27523403686
1527,115044.55639435726
1528,138004.16560375696
1529,142224.07709669013
1530,176908.63822422593
1531,131560.83197627647
1532,103542.94007883893
1533,130117.01596738055
1534,126107.55102805108
1535,146330.76882354356
1536,124212.06981593807
1537,101399.63451248937
1538,180019.26961521525
1539,206112.6633926149
1540,140597.25105066385
1541,162098.67688136472
1542,154262.72468408823
1543,203016.0154158595
1544,94766.24149359873
1545,103377.57271335997
1546,130982.00081492373
1547,140818.63358212524
1548,144955.3371510258
1549,123149.0016554408
1550,155258.80642474155
1551,121357.2285210701
1552,174041.9863549876
1553,134028.07398427068
1554,107970.21169355369
1555,159403.23309662245
1556,106156.47110872043
1557,121236.76659136945
1558,79635.29953348389
1559,115460.78343511757
1560,175707.73468308046
1561,146850.2346833808
1562,120031.5878397928
1563,122298.5628786426
1564,176264.58064035783
1565,153490.18710354637
1566,223515.35718841874
1567,101408.64725868915
1568,215798.0011955188
1569,140272.83600594843
